video_id,title,description,published_date,likes,views,comments,thumbnail_url,video_url,ranking_views,data_coleta
JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),"The official music video for Ed Sheeran - Shape Of You

Taken from the studio album ÷ (divide) released in 2017, which featured the hit singles 'Castle on the Hill', 'Shape of You', 'Galway Girl', ‘Perfect’ & 'Happier'. 
 
Subscribe to the Ed Sheeran channel for all the best and latest official music videos, behind the scenes and live performances.  
http://bit.ly/SubscribeToEdSheeran 
 
See more official videos from Ed Sheeran here: 
https://www.youtube.com/watch?v=ryJgDL9jzKk&list=PLjp0AEEJ0-f...",2017-01-30,34561979,6511395911,1206904,https://i.ytimg.com/vi/JGwWNGJdvx8/hqdefault.jpg,https://www.youtube.com/watch?v=JGwWNGJdvx8,1,2025-07-08 16:51:13
OPf0YbXqDm0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,"Official Video for Uptown Funk by Mark Ronson ft. Bruno Mars
Listen to Mark Ronson: https://MarkRonson.lnk.to/listenYD
Subscribe to the official Mark Ronson: https://MarkRonson.lnk.to/subscribeYD

Watch more Mark Ronson videos: https://MarkRonson.lnk.to/listenYD/youtube

Follow Mark Ronson:
Instagram: https://www.instagram.com/iammarkronson
Facebook: https://www.facebook.com/MarkRonson
Twitter: https://x.com/MarkRonson
TikTok: https://www.tiktok.com/@markronson
Website: https://www.markronson.co...",2014-11-19,22755356,5607450277,640427,https://i.ytimg.com/vi/OPf0YbXqDm0/maxresdefault.jpg,https://www.youtube.com/watch?v=OPf0YbXqDm0,2,2025-07-08 16:51:13
09R8_2nJtjg,Maroon 5 - Sugar (Official Music Video),"Buy Sugar on iTunes: http://smarturl.it/M5V

Sign up for updates: http://smarturl.it/Maroon5.News

Catch Maroon 5 on tour all year long  at www.maroon5.com

Music video by Maroon 5 performing Sugar. (C) 2015 Interscope Records",2015-01-14,16706245,4258283065,435812,https://i.ytimg.com/vi/09R8_2nJtjg/maxresdefault.jpg,https://www.youtube.com/watch?v=09R8_2nJtjg,3,2025-07-08 16:51:13
hT_nvWreIhg,OneRepublic - Counting Stars,"Stream & Download OneRepublic’s latest album “Human”: https://OneRepublic.lnk.to/Human

Listen to OneRepublic:
Spotify: http://smarturl.it/1RSpotify 
Apple Music: https://apple.co/3B4u43p 

Shop OneRepublic: http://smarturl.it/1RShop
Sign up for email updates: http://smarturl.it/1REmail
Listen to OneRepublic on Spotify: http://smarturl.it/1RSpotify
Catch OneRepublic on tour: https://www.onerepublic.com/tour

Follow OneRepublic:
Facebook: https://www.facebook.com/OneRepublic
Twitter: https://twit...",2013-05-31,18589550,4202184736,525452,https://i.ytimg.com/vi/hT_nvWreIhg/maxresdefault.jpg,https://www.youtube.com/watch?v=hT_nvWreIhg,4,2025-07-08 16:51:13
CevxZvSJLk8,Katy Perry - Roar,"Katy Perry's new album ""Smile"" out August 28 - http://katy.to/smileID

Listen to Katy’s new song “Smile”: https://katy.to/smileID

Get “Roar” from Katy Perry’s ‘PRISM’: http://katy.to/PRISM

Katy Perry Complete Collection on Spotify: http://katy.to/SpotifyCompleteYD
Katy Perry Essentials on Apple Music: http://katy.to/AMEssentialsYD
Watch your favorite Katy videos on YouTube: http://katy.to/MusicVideosYD

Follow Katy Perry:
Website: http://katy.to/WebsiteYD
Instagram: http://katy.to/InstagramYD
...",2013-09-05,17637324,4171703495,810121,https://i.ytimg.com/vi/CevxZvSJLk8/maxresdefault.jpg,https://www.youtube.com/watch?v=CevxZvSJLk8,5,2025-07-08 16:51:13
0KSOMA3QBU0,Katy Perry - Dark Horse ft. Juicy J,"Listen to Katy’s new song “Smile”: https://katy.to/smileID

Get ""Dark Horse"" from Katy Perry's 'PRISM': http://katy.to/PRISM

Katy Perry Complete Collection on Spotify: http://katy.to/SpotifyCompleteYD
Katy Perry Essentials on Apple Music: http://katy.to/AMEssentialsYD
Watch your favorite Katy videos on YouTube: http://katy.to/MusicVideosYD

Follow Katy Perry:
Website: http://katy.to/WebsiteYD
Instagram: http://katy.to/InstagramYD
Twitter: http://katy.to/TwitterYD
Facebook: http://katy.to/Facebo...",2014-02-20,18492173,4009017446,833661,https://i.ytimg.com/vi/0KSOMA3QBU0/maxresdefault.jpg,https://www.youtube.com/watch?v=0KSOMA3QBU0,6,2025-07-08 16:51:13
fRh_vgS2dFE,Justin Bieber - Sorry (PURPOSE : The Movement),"‘Purpose’ Available Everywhere Now!
iTunes: http://smarturl.it/PurposeDlx?IQid=VEVO1113 
Stream & Add To Your Spotify Playlist: http://smarturl.it/sPurpose?IQid=VEVO1113 
Google Play: http://smarturl.it/gPurpose?IQid=VEVO1113 
Amazon: http://smarturl.it/aPurpose?IQid=VEVO1113 

Produced by: BLOOD and Skrillex

Director: Parris Goebel
Producer: Justin Bieber, Scott ""Scooter"" Braun and Parris Goebel
Animator: John Hwang 
Production Company: SB Films and Taktix Films
Choreographer: Parris Goebel
Da...",2015-10-22,17245006,3982054079,890036,https://i.ytimg.com/vi/fRh_vgS2dFE/maxresdefault.jpg,https://www.youtube.com/watch?v=fRh_vgS2dFE,7,2025-07-08 16:51:13
2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),"The official music video for Ed Sheeran - Perfect 
 
Taken from the studio album ÷ (divide) released in 2017, which featured the hit singles 'Castle on the Hill', 'Shape of You', 'Galway Girl', ‘Perfect’ & 'Happier'. 
 
Subscribe to the Ed Sheeran channel for all the best and latest official music videos, behind the scenes and live performances.  
http://bit.ly/SubscribeToEdSheeran 
 
See more official videos from Ed Sheeran here: 
https://www.youtube.com/watch?v=ryJgDL9jzKk&list=PLjp0AEEJ0-fGKG...",2017-11-09,22790447,3980790236,570804,https://i.ytimg.com/vi/2Vv-BfVoq4g/hqdefault.jpg,https://www.youtube.com/watch?v=2Vv-BfVoq4g,8,2025-07-08 16:51:13
RBumgq5yVrA,Passenger | Let Her Go (Official Video),"The new album 'All The Little Lights (Anniversary Edition) Out Now from:  https://www.passengermusic.com 

For all things Passenger head to: 
https://linktr.ee/passengermusic


***

The official video for 'Let Her Go' – Directed and Produced by Dave Jansen. www.funmonkey.com.au

""Let Her Go"" [Lyrics]

Well you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate ...",2012-07-25,17929177,3860482423,528296,https://i.ytimg.com/vi/RBumgq5yVrA/maxresdefault.jpg,https://www.youtube.com/watch?v=RBumgq5yVrA,9,2025-07-08 16:51:13
aJOTlE1K90k,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),"""Girls Like You” is out now.
http://smarturl.it/GLY 

For more, visit: 
https://www.facebook.com/maroon5 
https://twitter.com/maroon5 
https://www.instagram.com/maroon5 

Sign up for updates: http://smarturl.it/Maroon5.News

Music video by Maroon 5 performing Girls Like You. © 2018 Interscope Records

http://vevo.ly/51VylS",2018-05-31,22376151,3857813109,676647,https://i.ytimg.com/vi/aJOTlE1K90k/maxresdefault.jpg,https://www.youtube.com/watch?v=aJOTlE1K90k,10,2025-07-08 16:51:13
e-ORhEE9VVg,Taylor Swift - Blank Space,"►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",2014-11-10,16237587,3660708404,681205,https://i.ytimg.com/vi/e-ORhEE9VVg/maxresdefault.jpg,https://www.youtube.com/watch?v=e-ORhEE9VVg,11,2025-07-08 16:51:13
nfWlot6h_JM,Taylor Swift - Shake It Off,"►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",2014-08-18,13900695,3582786811,597254,https://i.ytimg.com/vi/nfWlot6h_JM/maxresdefault.jpg,https://www.youtube.com/watch?v=nfWlot6h_JM,12,2025-07-08 16:51:13
3AtDnEC4zak,Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],"Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]
From Charlie's debut album Nine Track Mind!
Download/Stream: https://Atlantic.lnk.to/NineTrackMindID 

Exclusive Nine Track Mind Bundles Available Here: http://smarturl.it/NTMBundlesYT

Light Switch out now!
Download/stream: https://charlieputh.lnk.to/LightSwitchID

Subscribe for more official content from Charlie Puth:
https://Atlantic.lnk.to/CPsubscribeID

Follow Charlie
http://charlieputh.com 
http://twitter.com/charli...",2016-08-02,15440643,3347475933,427602,https://i.ytimg.com/vi/3AtDnEC4zak/maxresdefault.jpg,https://www.youtube.com/watch?v=3AtDnEC4zak,13,2025-07-08 16:51:13
k2qgadSvNyU,Dua Lipa - New Rules (Official Music Video),"The official music video for Dua Lipa - New Rules

Taken from her self-titled debut studio album released in 2017, which featured the hit singles 'Be The One', 'IDGAF', 'Hotter Than Hell' & 'New Rules'

Subscribe to the Dua Lipa channel for all the best and latest official music videos, behind the scenes and live performances. 
https://www.youtube.com/channel/UC-J-KZfRV8c13fOCkhXdLiQ?sub_confirmation=1

See more official videos from Dua Lipa here:
https://www.youtube.com/playlist?list=PLNrotoZZ8...",2017-07-07,18109114,3164555887,391014,https://i.ytimg.com/vi/k2qgadSvNyU/hqdefault.jpg,https://www.youtube.com/watch?v=k2qgadSvNyU,14,2025-07-08 16:51:13
papuvlVeZg8,Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],"Listen to our new song Don't Leave Me Lonely https://cleanbandit.lnk.to/dont-leave-me-lonelyIN

Click here to subscribe: http://bit.ly/SubscribeToCleanBandit

Video directed by Jack
Creative Directed by Grace

Follow us:
Website: http://cleanbandit.co.uk/
Facebook: http://www.facebook.com/cleanbandit 
Twitter: http://www.twitter.com/cleanbandit 
Instagram: http://instagram.com/cleanbandit
Soundcloud: http://www.soundcloud.com/cleanbandit
Spotify: http://www.atlre.co.uk/CleanBanditSpo...",2016-10-21,14629170,3088843501,314865,https://i.ytimg.com/vi/papuvlVeZg8/maxresdefault.jpg,https://www.youtube.com/watch?v=papuvlVeZg8,15,2025-07-08 16:51:13
fLexgOxsZu0,Bruno Mars - The Lazy Song (Official Music Video),"The official music video for Bruno Mars' ""The Lazy Song"" from the album 'Doo-Wops and Hooligans''.
Stream: https://apple.co/38qBTEU

Directed by Bruno Mars and Cameron Duddy

Choreographed and Performed by Poreotics: http://poreotics.com

Comic Chimp Mask used by permission of Easter Unlimited, Inc. / FunWorld Div. All Rights Reserved. Copyright 2009.

🔔 Subscribe for the latest official music videos, live performances, lyric videos, official audio, and more: https://Atlantic.lnk.to/BMsubscribe
...",2011-04-15,16020612,3045490726,666676,https://i.ytimg.com/vi/fLexgOxsZu0/maxresdefault.jpg,https://www.youtube.com/watch?v=fLexgOxsZu0,16,2025-07-08 16:51:13
5GL9JoH4Sws,Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,"“Work from Home” by Fifth Harmony feat. Ty Dolla $ign
Listen to Fifth Harmony: https://FifthHarmony.lnk.to/listenYD
 
Watch more Fifth Harmony videos: https://FifthHarmony.lnk.to/listenYC/youtube
 
Subscribe to the official Fifth Harmony YouTube channel: https://FifthHarmony.lnk.to/subscribeYD
 
Follow Fifth Harmony:
Facebook: https://FifthHarmony.lnk.to/followFI
Twitter: https://FifthHarmony.lnk.to/followTI
Instagram: https://FifthHarmony.lnk.to/followII
Website: https://FifthHarmony.lnk.to/fol...",2016-02-26,12871051,2983186629,478867,https://i.ytimg.com/vi/5GL9JoH4Sws/maxresdefault.jpg,https://www.youtube.com/watch?v=5GL9JoH4Sws,17,2025-07-08 16:51:13
